Time,theta1_acc,theta2_acc,d3_acc,theta4_acc
6.94,0.083031,-0.0774708,0,0.263331
6.96,0.0835516,-0.0780295,0,0.264982
6.98,0.0840722,-0.0785882,0,0.266633
7,0.0845927,-0.0791469,0,0.268284
7.02,0.0851133,-0.0797056,0,0.269935
7.04,0.0856339,-0.0802643,0,0.271586
7.06,0.0861545,-0.080823,0,0.273237
7.08,0.086675,-0.0813816,0,0.274888
7.1,0.0871956,-0.0819403,0,0.276539
7.12,0.0877162,-0.082499,0,0.27819
7.14,0.0882367,-0.0830577,0,0.279841
7.16,0.0887573,-0.0836164,0,0.281492
7.18,0.0892779,-0.0841751,0,0.283143
7.2,0.0897985,-0.0847337,0,0.284794
7.22,0.090319,-0.0852924,0,0.286445
7.24,0.0908396,-0.0858511,0,0.288096
7.26,0.0913602,-0.0864098,0,0.289747
7.28,0.0918807,-0.0869685,0,0.291398
7.3,0.0924013,-0.0875272,0,0.293049
7.32,0.0929219,-0.0880858,0,0.2947
7.34,0.0934425,-0.0886445,0,0.296351
7.36,0.093963,-0.0892032,0,0.298002
7.38,0.0944836,-0.0897619,0,0.299653
7.4,0.0950042,-0.0903206,0,0.301304
7.42,0.0955247,-0.0908793,0,0.302955
7.44,0.0960453,-0.0914379,0,0.304606
7.46,0.0965659,-0.0919966,0,0.306257
7.48,0.0970864,-0.0925553,0,0.307908
7.5,0.097607,-0.093114,0,0.309559
7.5,0.0811747,-0.046557,0,0.0253242
7.52,0.0807418,-0.0463708,0,0.025338
7.54,0.0803088,-0.0461845,0,0.0253519
7.56,0.0798759,-0.0459983,0,0.0253658
7.58,0.079443,-0.0458121,0,0.0253796
7.6,0.07901,-0.0456259,0,0.0253935
7.62,0.0785771,-0.0454396,0,0.0254074
7.64,0.0781442,-0.0452534,0,0.0254213
7.66,0.0777112,-0.0450672,0,0.0254351
7.68,0.0772783,-0.0448809,0,0.025449
7.7,0.0768454,-0.0446947,0,0.0254629
7.72,0.0764124,-0.0445085,0,0.0254768
7.74,0.0759795,-0.0443223,0,0.0254906
7.76,0.0755466,-0.044136,0,0.0255045
7.78,0.0751136,-0.0439498,0,0.0255184
7.8,0.0746807,-0.0437636,0,0.0255322
7.82,0.0742478,-0.0435774,0,0.0255461
7.84,0.0738149,-0.0433911,0,0.02556
7.86,0.0733819,-0.0432049,0,0.0255739
7.88,0.072949,-0.0430187,0,0.0255877
7.9,0.0725161,-0.0428324,0,0.0256016
7.92,0.0720831,-0.0426462,0,0.0256155
7.94,0.0716502,-0.04246,0,0.0256294
7.96,0.0712173,-0.0422738,0,0.0256432
7.98,0.0707843,-0.0420875,0,0.0256571
8,0.0703514,-0.0419013,0,0.025671
8.02,0.0699185,-0.0417151,0,0.0256848
8.04,0.0694855,-0.0415288,0,0.0256987
8.06,0.0690526,-0.0413426,0,0.0257126
8.08,0.0686197,-0.0411564,0,0.0257265
8.1,0.0681867,-0.0409702,0,0.0257403
8.12,0.0677538,-0.0407839,0,0.0257542
8.14,0.0673209,-0.0405977,0,0.0257681
8.16,0.0668879,-0.0404115,0,0.025782
8.18,0.066455,-0.0402252,0,0.0257958
8.2,0.0660221,-0.040039,0,0.0258097
8.22,0.0655892,-0.0398528,0,0.0258236
8.24,0.0651562,-0.0396666,0,0.0258374
8.26,0.0647233,-0.0394803,0,0.0258513
8.28,0.0642904,-0.0392941,0,0.0258652
8.3,0.0638574,-0.0391079,0,0.0258791
8.32,0.0634245,-0.0389217,0,0.0258929
8.34,0.0629916,-0.0387354,0,0.0259068
8.36,0.0625586,-0.0385492,0,0.0259207
8.38,0.0621257,-0.038363,0,0.0259346
8.4,0.0616928,-0.0381767,0,0.0259484
8.42,0.0612598,-0.0379905,0,0.0259623
8.44,0.0608269,-0.0378043,0,0.0259762
8.46,0.060394,-0.0376181,0,0.02599
8.48,0.059961,-0.0374318,0,0.0260039
8.5,0.0595281,-0.0372456,0,0.0260178
8.52,0.0590952,-0.0370594,0,0.0260317
8.54,0.0586622,-0.0368731,0,0.0260455
8.56,0.0582293,-0.0366869,0,0.0260594
8.58,0.0577964,-0.0365007,0,0.0260733
8.6,0.0573635,-0.0363145,0,0.0260872
8.62,0.0569305,-0.0361282,0,0.026101
8.64,0.0564976,-0.035942,0,0.0261149
8.66,0.0560647,-0.0357558,0,0.0261288
8.68,0.0556317,-0.0355695,0,0.0261426
8.7,0.0551988,-0.0353833,0,0.0261565
8.72,0.0547659,-0.0351971,0,0.0261704
8.74,0.0543329,-0.0350109,0,0.0261843
8.76,0.0539,-0.0348246,0,0.0261981
8.78,0.0534671,-0.0346384,0,0.026212
8.8,0.0530341,-0.0344522,0,0.0262259
8.82,0.0526012,-0.034266,0,0.0262397
8.84,0.0521683,-0.0340797,0,0.0262536
8.86,0.0517353,-0.0338935,0,0.0262675
8.88,0.0513024,-0.0337073,0,0.0262814
8.9,0.0508695,-0.033521,0,0.0262952
8.92,0.0504365,-0.0333348,0,0.0263091
8.94,0.0500036,-0.0331486,0,0.026323
8.96,0.0495707,-0.0329624,0,0.0263369
8.98,0.0491377,-0.0327761,0,0.0263507
9,0.0487048,-0.0325899,0,0.0263646
9.02,0.0482719,-0.0324037,0,0.0263785
9.04,0.047839,-0.0322174,0,0.0263923
9.06,0.047406,-0.0320312,0,0.0264062
9.08,0.0469731,-0.031845,0,0.0264201
9.1,0.0465402,-0.0316588,0,0.026434
9.12,0.0461072,-0.0314725,0,0.0264478
9.14,0.0456743,-0.0312863,0,0.0264617
9.16,0.0452414,-0.0311001,0,0.0264756
9.18,0.0448084,-0.0309138,0,0.0264895
9.2,0.0443755,-0.0307276,0,0.0265033
9.22,0.0439426,-0.0305414,0,0.0265172
9.24,0.0435096,-0.0303552,0,0.0265311
9.26,0.0430767,-0.0301689,0,0.0265449
9.28,0.0426438,-0.0299827,0,0.0265588
9.3,0.0422108,-0.0297965,0,0.0265727
9.32,0.0417779,-0.0296103,0,0.0265866
9.34,0.041345,-0.029424,0,0.0266004
9.36,0.040912,-0.0292378,0,0.0266143
9.38,0.0404791,-0.0290516,0,0.0266282
9.4,0.0400462,-0.0288653,0,0.0266421
9.42,0.0396133,-0.0286791,0,0.0266559
9.44,0.0391803,-0.0284929,0,0.0266698
9.46,0.0387474,-0.0283067,0,0.0266837
9.48,0.0383145,-0.0281204,0,0.0266975
9.5,0.0378815,-0.0279342,0,0.0267114
9.52,0.0374486,-0.027748,0,0.0267253
9.54,0.0370157,-0.0275617,0,0.0267392
9.56,0.0365827,-0.0273755,0,0.026753
9.58,0.0361498,-0.0271893,0,0.0267669
9.6,0.0357169,-0.0270031,0,0.0267808
9.62,0.0352839,-0.0268168,0,0.0267947
9.64,0.034851,-0.0266306,0,0.0268085
9.66,0.0344181,-0.0264444,0,0.0268224
9.68,0.0339851,-0.0262581,0,0.0268363
9.7,0.0335522,-0.0260719,0,0.0268501
9.72,0.0331193,-0.0258857,0,0.026864
9.74,0.0326863,-0.0256995,0,0.0268779
9.76,0.0322534,-0.0255132,0,0.0268918
9.78,0.0318205,-0.025327,0,0.0269056
9.8,0.0313875,-0.0251408,0,0.0269195
9.82,0.0309546,-0.0249546,0,0.0269334
9.84,0.0305217,-0.0247683,0,0.0269473
9.86,0.0300888,-0.0245821,0,0.0269611
9.88,0.0296558,-0.0243959,0,0.026975
9.9,0.0292229,-0.0242096,0,0.0269889
9.92,0.02879,-0.0240234,0,0.0270027
9.94,0.028357,-0.0238372,0,0.0270166
9.96,0.0279241,-0.023651,0,0.0270305
9.98,0.0274912,-0.0234647,0,0.0270444
10,0.0270582,-0.0232785,0,0.0270582
10.02,0.0266253,-0.0230923,0,0.0270721
10.04,0.0261924,-0.022906,0,0.027086
10.06,0.0257594,-0.0227198,0,0.0270998
10.08,0.0253265,-0.0225336,0,0.0271137
10.1,0.0248936,-0.0223474,0,0.0271276
10.12,0.0244606,-0.0221611,0,0.0271415
10.14,0.0240277,-0.0219749,0,0.0271553
10.16,0.0235948,-0.0217887,0,0.0271692
10.18,0.0231618,-0.0216024,0,0.0271831
10.2,0.0227289,-0.0214162,0,0.027197
10.22,0.022296,-0.02123,0,0.0272108
10.24,0.0218631,-0.0210438,0,0.0272247
10.26,0.0214301,-0.0208575,0,0.0272386
10.28,0.0209972,-0.0206713,0,0.0272524
10.3,0.0205643,-0.0204851,0,0.0272663
10.32,0.0201313,-0.0202989,0,0.0272802
10.34,0.0196984,-0.0201126,0,0.0272941
10.36,0.0192655,-0.0199264,0,0.0273079
10.38,0.0188325,-0.0197402,0,0.0273218
10.4,0.0183996,-0.0195539,0,0.0273357
10.42,0.0179667,-0.0193677,0,0.0273496
10.44,0.0175337,-0.0191815,0,0.0273634
10.46,0.0171008,-0.0189953,0,0.0273773
10.48,0.0166679,-0.018809,0,0.0273912
10.5,0.0162349,-0.0186228,0,0.027405
10.52,0.015802,-0.0184366,0,0.0274189
10.54,0.0153691,-0.0182503,0,0.0274328
10.56,0.0149361,-0.0180641,0,0.0274467
10.58,0.0145032,-0.0178779,0,0.0274605
10.6,0.0140703,-0.0176917,0,0.0274744
10.62,0.0136373,-0.0175054,0,0.0274883
10.64,0.0132044,-0.0173192,0,0.0275022
10.66,0.0127715,-0.017133,0,0.027516
10.68,0.0123386,-0.0169467,0,0.0275299
10.7,0.0119056,-0.0167605,0,0.0275438
10.72,0.0114727,-0.0165743,0,0.0275576
10.74,0.0110398,-0.0163881,0,0.0275715
10.76,0.0106068,-0.0162018,0,0.0275854
10.78,0.0101739,-0.0160156,0,0.0275993
10.8,0.00974096,-0.0158294,0,0.0276131
10.82,0.00930803,-0.0156432,0,0.027627
10.84,0.0088751,-0.0154569,0,0.0276409
10.86,0.00844217,-0.0152707,0,0.0276548
10.88,0.00800924,-0.0150845,0,0.0276686
10.9,0.0075763,-0.0148982,0,0.0276825
10.92,0.00714337,-0.014712,0,0.0276964
10.94,0.00671044,-0.0145258,0,0.0277102
10.96,0.00627751,-0.0143396,0,0.0277241
10.98,0.00584458,-0.0141533,0,0.027738
11,0.00541165,-0.0139671,0,0.0277519
11.02,0.00497871,-0.0137809,0,0.0277657
11.04,0.00454578,-0.0135946,0,0.0277796
11.06,0.00411285,-0.0134084,0,0.0277935
11.08,0.00367992,-0.0132222,0,0.0278074
11.1,0.00324699,-0.013036,0,0.0278212
11.12,0.00281406,-0.0128497,0,0.0278351
11.14,0.00238112,-0.0126635,0,0.027849
11.16,0.00194819,-0.0124773,0,0.0278628
11.18,0.00151526,-0.012291,0,0.0278767
11.2,0.00108233,-0.0121048,0,0.0278906
11.22,0.000649398,-0.0119186,0,0.0279045
11.24,0.000216466,-0.0117324,0,0.0279183
