Time,theta1_pos,theta2_pos,d3_pos,theta4_pos
6.56,0.69525,1.19009,-175,-2.77678
6.58,0.69366,1.19332,-175,-2.78182
6.6,0.692099,1.19653,-175,-2.78677
6.62,0.690568,1.19972,-175,-2.79163
6.64,0.689066,1.20287,-175,-2.79639
6.66,0.687595,1.206,-175,-2.80105
6.68,0.686154,1.2091,-175,-2.80562
6.7,0.684744,1.21217,-175,-2.8101
6.72,0.683364,1.21521,-175,-2.81447
6.74,0.682015,1.21822,-175,-2.81875
6.76,0.680697,1.22121,-175,-2.82293
6.78,0.679411,1.22417,-175,-2.82701
6.8,0.678156,1.22709,-175,-2.83099
6.82,0.676933,1.22999,-175,-2.83487
6.84,0.675742,1.23286,-175,-2.83865
6.86,0.674583,1.2357,-175,-2.84232
6.88,0.673457,1.23851,-175,-2.84589
6.9,0.672363,1.24128,-175,-2.84936
6.92,0.671302,1.24403,-175,-2.85273
6.94,0.670273,1.24675,-175,-2.85599
6.96,0.669279,1.24943,-175,-2.85915
6.98,0.668317,1.25209,-175,-2.86219
7,0.667389,1.25471,-175,-2.86514
7.02,0.666495,1.2573,-175,-2.86797
7.04,0.665635,1.25986,-175,-2.8707
7.06,0.664809,1.26239,-175,-2.87332
7.08,0.664018,1.26488,-175,-2.87583
7.1,0.663261,1.26735,-175,-2.87823
7.12,0.66254,1.26978,-175,-2.88052
7.14,0.661853,1.27217,-175,-2.8827
7.16,0.661202,1.27454,-175,-2.88476
7.18,0.660586,1.27687,-175,-2.88671
7.2,0.660006,1.27916,-175,-2.88855
7.22,0.659461,1.28143,-175,-2.89028
7.24,0.658953,1.28365,-175,-2.89189
7.26,0.658482,1.28585,-175,-2.89339
7.28,0.658046,1.28801,-175,-2.89477
7.3,0.657648,1.29013,-175,-2.89603
7.32,0.657286,1.29222,-175,-2.89718
7.34,0.656962,1.29428,-175,-2.89821
7.36,0.656675,1.29629,-175,-2.89912
7.38,0.656426,1.29828,-175,-2.89991
7.4,0.656214,1.30023,-175,-2.90058
7.42,0.656041,1.30214,-175,-2.90113
7.44,0.655905,1.30401,-175,-2.90156
7.46,0.655808,1.30585,-175,-2.90187
7.48,0.65575,1.30765,-175,-2.90205
7.5,0.655731,1.30942,-175,-2.90211
7.5,0.655731,1.30942,-175,-2.90211
7.52,0.655747,1.31115,-175,-2.90211
7.54,0.655795,1.31287,-175,-2.90209
7.56,0.655876,1.31457,-175,-2.90207
7.58,0.655988,1.31625,-175,-2.90203
7.6,0.656133,1.31791,-175,-2.90199
7.62,0.656309,1.31956,-175,-2.90193
7.64,0.656516,1.32118,-175,-2.90186
7.66,0.656755,1.32279,-175,-2.90179
7.68,0.657024,1.32438,-175,-2.9017
7.7,0.657325,1.32596,-175,-2.90161
7.72,0.657657,1.32751,-175,-2.9015
7.74,0.658018,1.32905,-175,-2.90138
7.76,0.658411,1.33057,-175,-2.90125
7.78,0.658833,1.33207,-175,-2.90112
7.8,0.659286,1.33355,-175,-2.90097
7.82,0.659768,1.33502,-175,-2.90081
7.84,0.660281,1.33647,-175,-2.90064
7.86,0.660822,1.3379,-175,-2.90047
7.88,0.661393,1.33931,-175,-2.90028
7.9,0.661994,1.34071,-175,-2.90008
7.92,0.662623,1.34209,-175,-2.89987
7.94,0.663281,1.34345,-175,-2.89965
7.96,0.663968,1.3448,-175,-2.89942
7.98,0.664683,1.34613,-175,-2.89918
8,0.665426,1.34744,-175,-2.89893
8.02,0.666198,1.34873,-175,-2.89867
8.04,0.666998,1.35001,-175,-2.8984
8.06,0.667825,1.35127,-175,-2.89812
8.08,0.66868,1.35252,-175,-2.89783
8.1,0.669563,1.35375,-175,-2.89753
8.12,0.670472,1.35496,-175,-2.89722
8.14,0.671409,1.35616,-175,-2.8969
8.16,0.672373,1.35734,-175,-2.89656
8.18,0.673364,1.3585,-175,-2.89622
8.2,0.674381,1.35965,-175,-2.89587
8.22,0.675424,1.36078,-175,-2.89551
8.24,0.676494,1.3619,-175,-2.89513
8.26,0.67759,1.36299,-175,-2.89475
8.28,0.678712,1.36408,-175,-2.89435
8.3,0.679859,1.36515,-175,-2.89395
8.32,0.681032,1.3662,-175,-2.89353
8.34,0.682231,1.36724,-175,-2.89311
8.36,0.683454,1.36826,-175,-2.89267
8.38,0.684703,1.36927,-175,-2.89223
8.4,0.685976,1.37026,-175,-2.89177
8.42,0.687274,1.37123,-175,-2.89131
8.44,0.688597,1.37219,-175,-2.89083
8.46,0.689944,1.37314,-175,-2.89034
8.48,0.691315,1.37407,-175,-2.88984
8.5,0.69271,1.37498,-175,-2.88933
8.52,0.694129,1.37588,-175,-2.88882
8.54,0.695572,1.37677,-175,-2.88829
8.56,0.697038,1.37764,-175,-2.88775
8.58,0.698527,1.3785,-175,-2.8872
8.6,0.700039,1.37934,-175,-2.88664
8.62,0.701575,1.38017,-175,-2.88607
8.64,0.703133,1.38098,-175,-2.88549
8.66,0.704713,1.38178,-175,-2.88489
8.68,0.706317,1.38256,-175,-2.88429
8.7,0.707942,1.38333,-175,-2.88368
8.72,0.70959,1.38409,-175,-2.88306
8.74,0.711259,1.38483,-175,-2.88242
8.76,0.71295,1.38555,-175,-2.88178
8.78,0.714663,1.38627,-175,-2.88112
8.8,0.716397,1.38697,-175,-2.88046
8.82,0.718152,1.38765,-175,-2.87978
8.84,0.719928,1.38833,-175,-2.8791
8.86,0.721726,1.38898,-175,-2.8784
8.88,0.723544,1.38963,-175,-2.8777
8.9,0.725382,1.39026,-175,-2.87698
8.92,0.727241,1.39088,-175,-2.87625
8.94,0.72912,1.39148,-175,-2.87551
8.96,0.731019,1.39207,-175,-2.87476
8.98,0.732937,1.39265,-175,-2.874
9,0.734876,1.39322,-175,-2.87323
9.02,0.736834,1.39377,-175,-2.87245
9.04,0.738811,1.39431,-175,-2.87166
9.06,0.740807,1.39484,-175,-2.87086
9.08,0.742823,1.39535,-175,-2.87005
9.1,0.744857,1.39585,-175,-2.86922
9.12,0.746909,1.39634,-175,-2.86839
9.14,0.748981,1.39681,-175,-2.86755
9.16,0.75107,1.39728,-175,-2.86669
9.18,0.753178,1.39773,-175,-2.86583
9.2,0.755303,1.39817,-175,-2.86495
9.22,0.757446,1.39859,-175,-2.86406
9.24,0.759607,1.39901,-175,-2.86317
9.26,0.761785,1.39941,-175,-2.86226
9.28,0.763981,1.3998,-175,-2.86134
9.3,0.766193,1.40017,-175,-2.86041
9.32,0.768422,1.40054,-175,-2.85947
9.34,0.770668,1.40089,-175,-2.85852
9.36,0.772931,1.40124,-175,-2.85756
