X,Y,Z,Phi
-58.6664,258.323,100,-1.14087
-59.2941,258.24,100,-1.14167
-59.9186,258.157,100,-1.1425
-60.5397,258.072,100,-1.14334
-61.1576,257.987,100,-1.14421
-61.772,257.9,100,-1.1451
-62.383,257.814,100,-1.14602
-62.9906,257.726,100,-1.14696
-63.5946,257.637,100,-1.14793
-64.1951,257.548,100,-1.14892
-64.792,257.458,100,-1.14993
-65.3853,257.368,100,-1.15097
-65.975,257.277,100,-1.15203
-66.5609,257.185,100,-1.15311
-67.1431,257.093,100,-1.15422
-67.7215,257,100,-1.15536
-68.2961,256.907,100,-1.15652
-68.8668,256.813,100,-1.15771
-69.4337,256.719,100,-1.15892
-69.9966,256.624,100,-1.16015
-70.5555,256.529,100,-1.16141
-71.1104,256.433,100,-1.1627
-71.6612,256.338,100,-1.16401
-72.208,256.241,100,-1.16535
-72.7506,256.145,100,-1.16671
-73.289,256.048,100,-1.1681
-73.8233,255.951,100,-1.16952
-74.3533,255.854,100,-1.17096
-74.879,255.757,100,-1.17242
-75.4004,255.66,100,-1.17392
-75.9174,255.562,100,-1.17544
-76.43,255.464,100,-1.17698
-76.9382,255.367,100,-1.17855
-77.4419,255.269,100,-1.18015
-77.9411,255.171,100,-1.18178
-78.4357,255.074,100,-1.18343
-78.9258,254.976,100,-1.18511
-79.4112,254.879,100,-1.18682
-79.892,254.781,100,-1.18855
-80.368,254.684,100,-1.19031
-80.8393,254.587,100,-1.1921
-81.3059,254.491,100,-1.19391
-81.7676,254.394,100,-1.19576
-82.2245,254.298,100,-1.19763
-82.6764,254.202,100,-1.19953
-83.1235,254.106,100,-1.20145
-83.5656,254.011,100,-1.20341
-84.0027,253.917,100,-1.20539
-84.4347,253.822,100,-1.2074
-84.8617,253.728,100,-1.20944
-85.2836,253.635,100,-1.21151
-85.7003,253.542,100,-1.2136
-86.1118,253.45,100,-1.21573
-86.5181,253.358,100,-1.21788
-86.9192,253.267,100,-1.22006
-87.315,253.177,100,-1.22227
-87.7054,253.087,100,-1.22451
-88.0905,252.998,100,-1.22678
-88.4701,252.91,100,-1.22908
-88.8443,252.823,100,-1.23141
-89.2131,252.736,100,-1.23376
-89.5763,252.65,100,-1.23615
-89.934,252.565,100,-1.23856
-90.2861,252.481,100,-1.24101
-90.6326,252.398,100,-1.24349
-90.9734,252.316,100,-1.24599
-91.3085,252.235,100,-1.24853
-91.6379,252.155,100,-1.25109
-91.9615,252.075,100,-1.25369
-92.2793,251.997,100,-1.25631
-92.5913,251.92,100,-1.25897
-92.8974,251.845,100,-1.26166
-93.1976,251.77,100,-1.26438
-93.4919,251.697,100,-1.26713
-93.7801,251.624,100,-1.26991
-94.0624,251.553,100,-1.27272
-94.3386,251.483,100,-1.27556
-94.6087,251.415,100,-1.27843
-94.8726,251.348,100,-1.28134
-95.1304,251.282,100,-1.28427
-95.382,251.218,100,-1.28724
-95.6274,251.154,100,-1.29024
-95.8665,251.093,100,-1.29327
-96.0993,251.033,100,-1.29633
-96.3257,250.974,100,-1.29943
-96.5457,250.917,100,-1.30255
-96.7594,250.861,100,-1.30571
-96.9666,250.807,100,-1.3089
-97.1672,250.754,100,-1.31212
-97.3614,250.703,100,-1.31538
-97.549,250.654,100,-1.31867
-97.7299,250.606,100,-1.32199
-97.9043,250.56,100,-1.32534
-98.072,250.516,100,-1.32873
-98.2329,250.473,100,-1.33215
